SR_lD,Basisszenario,Kamera,Links_RVA,Tr_li-Breite,Tr_li-Art,Tr_li_baulTrennung,RVA-Breite,Tr_re-Breite,Tr_re-Art,GW-Breite,GW-Geschaeftsnutzung,Haeuserfront,SceneID,Häufigkeit
193,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_193,1
194,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_194,1
195,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_195,1
196,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_196,1
197,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_197,1
198,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_198,1
199,02,C,Fahrstreifen,-,-,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_199,1
200,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_200,1
201,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_201,1
202,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_202,1
203,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_203,1
204,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_204,1
205,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_205,1
206,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_206,1
207,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_207,1
208,02,C,Fahrstreifen,-,-,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_208,1
209,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_209,1
210,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_210,1
211,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_211,1
212,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_212,1
213,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_213,1
214,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_214,1
215,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_215,1
216,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_216,1
217,02,C,Fahrstreifen,-,-,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_217,1
218,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_218,1
219,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_219,1
220,02,C,Fahrstreifen,breit,Gruenstreifen,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_220,1
221,02,C,Fahrstreifen,breit,Aufpflasterung,-,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_221,1
222,02,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_222,1
223,02,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_223,1
224,02,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_224,1
225,02,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_225,1
226,02,C,Fahrstreifen,-,-,-,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_226,1
227,02,C,Fahrstreifen,schmal,Gruenstreifen,-,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_227,1
228,02,C,Fahrstreifen,schmal,Aufpflasterung,-,schmal,-,-,schmal,-,Gruenanlage,01_CP_C_228,1
